"V1";"V2";"V3";"V4";"V5"
"212";"Rain_002_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"213";"FG_Avg";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-08-12T09:43:00Z"
"214";"FG_Max";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-02-10T21:15:00Z"
"215";"Hamount_Avg";"1465996208";"Mauritius Radio Telescope";"2016-03-14T19:54:00Z";"2017-02-28T14:59:00Z"
"216";"RH_Avg";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2017-02-28T14:59:00Z"
"217";"Text_Avg";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2017-02-28T14:59:00Z"
"218";"TinDL_Avg";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-08-12T09:43:00Z"
"219";"battVolt_Avg";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-08-12T09:43:00Z"
"220";"isRainReseted";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-02-10T21:15:00Z"
"221";"FDnum_Avg";"1465996208";"Mauritius Radio Telescope";"2016-03-14T19:55:00Z";"2016-08-12T09:43:00Z"
"222";"FG_Min";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-02-10T21:15:00Z"
"223";"Rain_Totale";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-02-10T21:15:00Z"
"224";"U_DLF4_Avg";"1465996208";"Mauritius Radio Telescope";"2016-11-07T11:34:00Z";"2017-02-28T14:59:00Z"
"225";"WSmax_Max";"1465996208";"Mauritius Radio Telescope";"2016-03-14T19:54:00Z";"2017-02-28T14:59:00Z"
"226";"FD_Min";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-02-10T21:15:00Z"
"227";"Rp_Max";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-02-10T21:15:00Z"
"228";"Text_Min";"1465996208";"Mauritius Radio Telescope";"2015-11-05T11:22:00Z";"2016-02-10T21:15:00Z"
"229";"WD_MeanUnitVector";"1465996208";"Mauritius Radio Telescope";"2016-03-14T19:54:00Z";"2017-02-28T14:59:00Z"
